WSms;WSkts
43.72778;85.00000432
43.72778;85.00000432
43.72778;85.00000432
46.3;90
46.3;90
41.15556;80.00000864
51.44444;99.99999136
38.58333;74.99999352
51.44444;99.99999136
30.86667;60.00000648
43.72778;85.00000432
46.3;90
51.44444;99.99999136
33.43889;65.00000216
43.72778;85.00000432
51.44444;99.99999136
46.3;90
35.2018;68.42682505
54.01667;105.0000065
32.63041;63.42844276
48.87222;94.99999568
51.44444;99.99999136
56.58889;110.0000022
46.3;90
54.01667;105.0000065
64.30556;125.0000086
51.44444;99.99999136
46.7885;90.94956803
51.44444;99.99999136
54.01667;105.0000065
48.87222;94.99999568
56.58889;110.0000022
60.74938;118.0873477
64.30556;125.0000086
27.11203;52.70157019
41.15556;80.00000864
51.44444;99.99999136
53.02025;103.063121
43.72778;85.00000432
53.02025;103.063121
43.72778;85.00000432
46.3;90
58.87026;114.4346307
30.86667;60.00000648
42.36677;82.35441253
51.44444;99.99999136
60.74938;118.0873477
51.44444;99.99999136
46.3;90
50.9901;99.11682505
51.44444;99.99999136
54.01667;105.0000065
28.29445;55.0000108
46.7885;90.94956803
43.72778;85.00000432
20.88138;40.59015551
38.58333;74.99999352
46.3;90
43.72778;85.00000432
48.87222;94.99999568
53.02025;103.063121
64.30556;125.0000086
25.72222;49.99999568
36.01111;69.99999784
46.3;90
20.57778;40.00000432
51.44444;99.99999136
46.3;90
46.3;90
46.3;90
51.44444;99.99999136
51.44444;99.99999136
51.44444;99.99999136
41.15556;80.00000864
48.87222;94.99999568
51.44444;99.99999136
51.44444;99.99999136
51.44444;99.99999136
51.44444;99.99999136
30.86667;60.00000648
46.7885;90.94956803
46.3;90
36.01111;69.99999784
51.44444;99.99999136
41.15556;80.00000864
46.3;90
36.01111;69.99999784
25.72222;49.99999568
36.01111;69.99999784
28.29445;55.0000108
43.72778;85.00000432
38.58333;74.99999352
46.3;90
30.86667;60.00000648
51.44444;99.99999136
36.01111;69.99999784
33.43889;65.00000216
54.01667;105.0000065
51.44444;99.99999136
38.58333;74.99999352
64.30556;125.0000086
64.30556;125.0000086
46.3;90
30.86667;60.00000648
51.44444;99.99999136
28.29445;55.0000108
30.86667;60.00000648
46.3;90
51.44444;99.99999136
30.86667;60.00000648
36.01111;69.99999784
64.30556;125.0000086
46.7885;90.94956803
48.87222;94.99999568
48.87222;94.99999568
48.87222;94.99999568
23.15;45
38.58333;74.99999352
36.01111;69.99999784
46.3;90
46.3;90
46.7885;90.94956803
43.72778;85.00000432
53.02025;103.063121
46.7885;90.94956803
58.87026;114.4346307
43.72778;85.00000432
23.15;45
41.15556;80.00000864
46.7885;90.94956803
56.58889;110.0000022
25.72222;49.99999568
20.57778;40.00000432
51.44444;99.99999136
43.72778;85.00000432
38.58333;74.99999352
46.3;90
38.58333;74.99999352
54.01667;105.0000065
46.3;90
46.3;90
53.02025;103.063121
43.72778;85.00000432
46.3;90
38.58333;74.99999352
48.87222;94.99999568
36.01111;69.99999784
44.60794;86.71089849
51.44444;99.99999136
20.57778;40.00000432
23.15;45
46.3;90
48.87222;94.99999568
30.86667;60.00000648
43.72778;85.00000432
43.72778;85.00000432
56.58889;110.0000022
33.43889;65.00000216
48.87222;94.99999568
60.74938;118.0873477
38.58333;74.99999352
48.87222;94.99999568
64.30556;125.0000086
30.86667;60.00000648
30.86667;60.00000648
36.01111;69.99999784
54.01667;105.0000065
41.15556;80.00000864
48.87222;94.99999568
38.58333;74.99999352
33.43889;65.00000216
38.58333;74.99999352
19.51154;37.92739957
36.01111;69.99999784
56.58889;110.0000022
51.44444;99.99999136
28.29445;55.0000108
43.72778;85.00000432
56.58889;110.0000022
46.3;90
43.72778;85.00000432
29.94165;58.20191145
46.3;90
51.44444;99.99999136
38.58333;74.99999352
58.87026;114.4346307
43.72778;85.00000432
54.01667;105.0000065
53.02025;103.063121
33.43889;65.00000216
33.43889;65.00000216
50.9901;99.11682505
56.58889;110.0000022
54.01667;105.0000065
51.44444;99.99999136
29.94165;58.20191145
53.02025;103.063121
46.3;90
33.43889;65.00000216
23.15;45
41.15556;80.00000864
46.3;90
51.44444;99.99999136
51.44444;99.99999136
29.94165;58.20191145
36.01111;69.99999784
48.87222;94.99999568
54.01667;105.0000065
48.87222;94.99999568
28.29445;55.0000108
46.3;90
48.87222;94.99999568
56.58889;110.0000022
60.74938;118.0873477
46.7885;90.94956803
36.01111;69.99999784
53.02025;103.063121
58.87026;114.4346307
40.05803;77.86658099
29.94165;58.20191145
38.58333;74.99999352
38.58333;74.99999352
38.58333;74.99999352
54.01667;105.0000065
36.01111;69.99999784
53.02025;103.063121
46.3;90
51.44444;99.99999136
43.72778;85.00000432
33.43889;65.00000216
25.72222;49.99999568
28.29445;55.0000108
43.72778;85.00000432
58.87026;114.4346307
20.57778;40.00000432
64.30556;125.0000086
48.87222;94.99999568
28.29445;55.0000108
43.72778;85.00000432
28.29445;55.0000108
33.43889;65.00000216
38.58333;74.99999352
53.02025;103.063121
48.87222;94.99999568
30.86667;60.00000648
38.58333;74.99999352
64.30556;125.0000086
64.30556;125.0000086
38.58333;74.99999352
46.3;90
46.3;90
36.01111;69.99999784
50.9901;99.11682505
46.3;90
51.44444;99.99999136
46.3;90
38.58333;74.99999352
46.3;90
43.72778;85.00000432
18.00556;35.00000864
46.3;90
53.02025;103.063121
58.87026;114.4346307
43.72778;85.00000432
46.3;90
38.58333;74.99999352
54.01667;105.0000065
33.43889;65.00000216
38.58333;74.99999352
20.57778;40.00000432
54.01667;105.0000065
51.44444;99.99999136
25.72222;49.99999568
43.72778;85.00000432
48.87222;94.99999568
29.94165;58.20191145
43.72778;85.00000432
46.3;90
51.44444;99.99999136
46.3;90
36.01111;69.99999784
48.87222;94.99999568
48.87222;94.99999568
64.30556;125.0000086
46.3;90
35.2018;68.42682505
41.15556;80.00000864
38.58333;74.99999352
60.74938;118.0873477
46.3;90
46.3;90
48.87222;94.99999568
33.43889;65.00000216
43.72778;85.00000432
58.87026;114.4346307
28.29445;55.0000108
58.87026;114.4346307
28.29445;55.0000108
33.43889;65.00000216
23.15;45
30.86667;60.00000648
25.72222;49.99999568
43.72778;85.00000432
64.30556;125.0000086
43.72778;85.00000432
48.87222;94.99999568
48.87222;94.99999568
46.7885;90.94956803
53.02025;103.063121
46.7885;90.94956803
51.44444;99.99999136
64.30556;125.0000086
46.3;90
36.01111;69.99999784
64.30556;125.0000086
46.3;90
20.57778;40.00000432
38.58333;74.99999352
54.01667;105.0000065
54.01667;105.0000065
53.02025;103.063121
43.72778;85.00000432
36.01111;69.99999784
35.2018;68.42682505
46.3;90
64.30556;125.0000086
51.44444;99.99999136
46.3;90
46.3;90
51.44444;99.99999136
36.01111;69.99999784
51.44444;99.99999136
54.01667;105.0000065
51.44444;99.99999136
58.87026;114.4346307
60.74938;118.0873477
46.3;90
54.01667;105.0000065
36.01111;69.99999784
25.72222;49.99999568
46.3;90
46.3;90
51.44444;99.99999136
46.3;90
64.30556;125.0000086
51.44444;99.99999136
48.87222;94.99999568
46.3;90
38.58333;74.99999352
46.3;90
36.01111;69.99999784
56.58889;110.0000022
51.44444;99.99999136
46.3;90
36.01111;69.99999784
46.3;90
46.3;90
41.15556;80.00000864
46.7885;90.94956803
43.72778;85.00000432
41.15556;80.00000864
41.15556;80.00000864
51.44444;99.99999136
53.02025;103.063121
54.01667;105.0000065
32.63041;63.42844276
48.87222;94.99999568
43.72778;85.00000432
46.3;90
54.01667;105.0000065
51.44444;99.99999136
23.15;45
33.43889;65.00000216
46.7885;90.94956803
54.01667;105.0000065
60.74938;118.0873477
38.58333;74.99999352
46.3;90
46.3;90
43.72778;85.00000432
25.72222;49.99999568
44.60794;86.71089849
46.3;90
41.15556;80.00000864
51.44444;99.99999136
46.3;90
51.44444;99.99999136
51.44444;99.99999136
46.3;90
60.74938;118.0873477
30.86667;60.00000648
27.11203;52.70157019
48.87222;94.99999568
38.58333;74.99999352
36.01111;69.99999784
46.3;90
38.58333;74.99999352
46.3;90
40.05803;77.86658099
35.2018;68.42682505
33.43889;65.00000216
56.58889;110.0000022
36.01111;69.99999784
54.01667;105.0000065
54.01667;105.0000065
36.01111;69.99999784
54.01667;105.0000065
54.01667;105.0000065
38.58333;74.99999352
51.44444;99.99999136
46.3;90
51.44444;99.99999136
51.44444;99.99999136
43.72778;85.00000432
33.43889;65.00000216
18.00556;35.00000864
28.29445;55.0000108
48.87222;94.99999568
36.01111;69.99999784
54.01667;105.0000065
36.01111;69.99999784
58.87026;114.4346307
48.87222;94.99999568
29.94165;58.20191145
38.58333;74.99999352
30.86667;60.00000648
38.58333;74.99999352
43.72778;85.00000432
50.9901;99.11682505
43.72778;85.00000432
51.44444;99.99999136
48.87222;94.99999568
27.11203;52.70157019
46.3;90
46.3;90
23.15;45
28.29445;55.0000108
56.58889;110.0000022
54.01667;105.0000065
46.3;90
43.72778;85.00000432
38.58333;74.99999352
43.72778;85.00000432
43.72778;85.00000432
43.72778;85.00000432
28.29445;55.0000108
23.15;45
43.72778;85.00000432
54.01667;105.0000065
51.44444;99.99999136
53.02025;103.063121
51.44444;99.99999136
38.58333;74.99999352
41.15556;80.00000864
51.44444;99.99999136
29.94165;58.20191145
51.44444;99.99999136
54.01667;105.0000065
38.58333;74.99999352
60.74938;118.0873477
48.87222;94.99999568
38.58333;74.99999352
33.43889;65.00000216
64.30556;125.0000086
51.44444;99.99999136
51.44444;99.99999136
36.01111;69.99999784
30.86667;60.00000648
43.72778;85.00000432
51.44444;99.99999136
38.58333;74.99999352
43.72778;85.00000432
23.15;45
28.29445;55.0000108
46.3;90
51.44444;99.99999136
29.94165;58.20191145
20.88138;40.59015551
38.58333;74.99999352
64.30556;125.0000086
53.02025;103.063121
64.30556;125.0000086
25.72222;49.99999568
38.58333;74.99999352
38.58333;74.99999352
36.01111;69.99999784
43.72778;85.00000432
38.58333;74.99999352
43.72778;85.00000432
36.01111;69.99999784
40.05803;77.86658099
36.01111;69.99999784
54.01667;105.0000065
25.72222;49.99999568
46.3;90
30.86667;60.00000648
24.10845;46.86307775
46.3;90
48.87222;94.99999568
50.9901;99.11682505
54.01667;105.0000065
51.44444;99.99999136
60.74938;118.0873477
60.74938;118.0873477
51.44444;99.99999136
36.01111;69.99999784
46.3;90
46.3;90
46.3;90
28.29445;55.0000108
46.3;90
51.44444;99.99999136
38.58333;74.99999352
33.43889;65.00000216
48.87222;94.99999568
12.86111;24.99999784
46.3;90
36.01111;69.99999784
54.01667;105.0000065
54.01667;105.0000065
38.58333;74.99999352
51.44444;99.99999136
51.44444;99.99999136
51.44444;99.99999136
46.3;90
38.58333;74.99999352
48.87222;94.99999568
51.44444;99.99999136
25.72222;49.99999568
38.58333;74.99999352
48.87222;94.99999568
42.36677;82.35441253
48.87222;94.99999568
48.87222;94.99999568
51.44444;99.99999136
51.44444;99.99999136
58.87026;114.4346307
36.01111;69.99999784
53.02025;103.063121
28.29445;55.0000108
51.44444;99.99999136
30.86667;60.00000648
23.15;45
64.30556;125.0000086
43.72778;85.00000432
48.87222;94.99999568
54.01667;105.0000065
46.3;90
36.01111;69.99999784
33.43889;65.00000216
46.3;90
46.3;90
33.43889;65.00000216
43.72778;85.00000432
46.3;90
50.9901;99.11682505
60.74938;118.0873477
38.58333;74.99999352
53.02025;103.063121
43.72778;85.00000432
51.44444;99.99999136
46.3;90
46.3;90
48.87222;94.99999568
46.3;90
38.58333;74.99999352
24.10845;46.86307775
46.3;90
51.44444;99.99999136
38.58333;74.99999352
43.72778;85.00000432
38.58333;74.99999352
50.9901;99.11682505
51.44444;99.99999136
46.3;90
46.3;90
46.3;90
28.29445;55.0000108
54.01667;105.0000065
32.63041;63.42844276
46.3;90
44.60794;86.71089849
60.74938;118.0873477
51.44444;99.99999136
38.58333;74.99999352
60.74938;118.0873477
24.10845;46.86307775
53.02025;103.063121
64.30556;125.0000086
51.44444;99.99999136
43.72778;85.00000432
51.44444;99.99999136
43.72778;85.00000432
64.30556;125.0000086
58.87026;114.4346307
51.44444;99.99999136
23.15;45
46.7885;90.94956803
46.3;90
54.01667;105.0000065
36.01111;69.99999784
28.29445;55.0000108
46.3;90
51.44444;99.99999136
33.43889;65.00000216
48.87222;94.99999568
20.88138;40.59015551
36.01111;69.99999784
53.02025;103.063121
54.01667;105.0000065
54.01667;105.0000065
38.58333;74.99999352
43.72778;85.00000432
19.51154;37.92739957
28.29445;55.0000108
46.3;90
53.02025;103.063121
36.01111;69.99999784
46.3;90
54.01667;105.0000065
36.01111;69.99999784
51.44444;99.99999136
38.58333;74.99999352
38.58333;74.99999352
27.11203;52.70157019
51.44444;99.99999136
41.15556;80.00000864
48.87222;94.99999568
28.29445;55.0000108
54.01667;105.0000065
60.74938;118.0873477
46.3;90
54.01667;105.0000065
46.3;90
36.01111;69.99999784
51.44444;99.99999136
54.01667;105.0000065
64.30556;125.0000086
64.30556;125.0000086
60.74938;118.0873477
30.86667;60.00000648
29.94165;58.20191145
60.74938;118.0873477
58.87026;114.4346307
38.58333;74.99999352
43.72778;85.00000432
46.3;90
60.74938;118.0873477
46.3;90
41.15556;80.00000864
30.86667;60.00000648
48.87222;94.99999568
58.87026;114.4346307
51.44444;99.99999136
51.44444;99.99999136
43.72778;85.00000432
64.30556;125.0000086
54.01667;105.0000065
54.01667;105.0000065
54.01667;105.0000065
19.51154;37.92739957
30.86667;60.00000648
56.58889;110.0000022
18.00556;35.00000864
46.3;90
60.74938;118.0873477
60.74938;118.0873477
42.36677;82.35441253
30.86667;60.00000648
53.02025;103.063121
56.58889;110.0000022
56.58889;110.0000022
51.44444;99.99999136
54.01667;105.0000065
64.30556;125.0000086
44.60794;86.71089849
33.43889;65.00000216
51.44444;99.99999136
48.87222;94.99999568
51.44444;99.99999136
46.3;90
38.58333;74.99999352
46.3;90
64.30556;125.0000086
48.87222;94.99999568
30.86667;60.00000648
51.44444;99.99999136
56.58889;110.0000022
48.87222;94.99999568
33.43889;65.00000216
54.01667;105.0000065
56.58889;110.0000022
46.3;90
43.72778;85.00000432
64.30556;125.0000086
60.74938;118.0873477
38.58333;74.99999352
46.3;90
48.87222;94.99999568
33.43889;65.00000216
37.67321;73.23086177
46.3;90
33.43889;65.00000216
50.9901;99.11682505
64.30556;125.0000086
46.3;90
51.44444;99.99999136
46.3;90
38.58333;74.99999352
58.87026;114.4346307
56.58889;110.0000022
56.58889;110.0000022
46.3;90
53.02025;103.063121
60.74938;118.0873477
60.74938;118.0873477
54.01667;105.0000065
54.01667;105.0000065
37.67321;73.23086177
40.05803;77.86658099
23.15;45
48.87222;94.99999568
64.30556;125.0000086
38.58333;74.99999352
58.87026;114.4346307
58.87026;114.4346307
54.01667;105.0000065
46.7885;90.94956803
46.7885;90.94956803
48.87222;94.99999568
58.87026;114.4346307
54.01667;105.0000065
38.58333;74.99999352
48.87222;94.99999568
46.3;90
43.72778;85.00000432
33.43889;65.00000216
46.3;90
44.60794;86.71089849
30.86667;60.00000648
46.7885;90.94956803
46.3;90
43.72778;85.00000432
38.58333;74.99999352
46.3;90
43.72778;85.00000432
51.44444;99.99999136
33.43889;65.00000216
53.02025;103.063121
54.01667;105.0000065
28.29445;55.0000108
38.58333;74.99999352
50.9901;99.11682505
51.44444;99.99999136
43.72778;85.00000432
33.43889;65.00000216
33.43889;65.00000216
48.87222;94.99999568
48.87222;94.99999568
60.74938;118.0873477
23.15;45
60.74938;118.0873477
33.43889;65.00000216
38.58333;74.99999352
36.01111;69.99999784
54.01667;105.0000065
58.87026;114.4346307
33.43889;65.00000216
48.87222;94.99999568
48.87222;94.99999568
30.86667;60.00000648
43.72778;85.00000432
51.44444;99.99999136
54.01667;105.0000065
33.43889;65.00000216
33.43889;65.00000216
28.29445;55.0000108
51.44444;99.99999136
51.44444;99.99999136
36.01111;69.99999784
64.30556;125.0000086
46.3;90
54.01667;105.0000065
36.01111;69.99999784
51.44444;99.99999136
38.58333;74.99999352
43.72778;85.00000432
30.86667;60.00000648
54.01667;105.0000065
53.02025;103.063121
28.29445;55.0000108
54.01667;105.0000065
51.44444;99.99999136
37.67321;73.23086177
51.44444;99.99999136
56.58889;110.0000022
51.44444;99.99999136
46.3;90
46.3;90
41.15556;80.00000864
51.44444;99.99999136
41.15556;80.00000864
42.36677;82.35441253
18.00556;35.00000864
38.58333;74.99999352
38.58333;74.99999352
33.43889;65.00000216
36.01111;69.99999784
60.74938;118.0873477
54.01667;105.0000065
56.58889;110.0000022
46.7885;90.94956803
48.87222;94.99999568
48.87222;94.99999568
48.87222;94.99999568
54.01667;105.0000065
51.44444;99.99999136
30.86667;60.00000648
48.87222;94.99999568
46.3;90
43.72778;85.00000432
64.30556;125.0000086
51.44444;99.99999136
36.01111;69.99999784
38.58333;74.99999352
56.58889;110.0000022
64.30556;125.0000086
33.43889;65.00000216
41.15556;80.00000864
54.01667;105.0000065
29.94165;58.20191145
43.72778;85.00000432
38.58333;74.99999352
48.87222;94.99999568
40.05803;77.86658099
46.3;90
54.01667;105.0000065
53.02025;103.063121
54.01667;105.0000065
48.87222;94.99999568
33.43889;65.00000216
54.01667;105.0000065
48.87222;94.99999568
53.02025;103.063121
18.00556;35.00000864
18.00556;35.00000864
36.01111;69.99999784
54.01667;105.0000065
27.11203;52.70157019
48.87222;94.99999568
46.3;90
46.3;90
46.3;90
13.36275;25.97510799
43.72778;85.00000432
46.7885;90.94956803
46.3;90
38.58333;74.99999352
38.58333;74.99999352
54.01667;105.0000065
60.74938;118.0873477
23.15;45
54.01667;105.0000065
54.01667;105.0000065
51.44444;99.99999136
36.01111;69.99999784
36.01111;69.99999784
48.87222;94.99999568
38.58333;74.99999352
33.43889;65.00000216
51.44444;99.99999136
20.57778;40.00000432
46.3;90
64.30556;125.0000086
38.58333;74.99999352
54.01667;105.0000065
51.44444;99.99999136
46.7885;90.94956803
42.36677;82.35441253
54.01667;105.0000065
33.43889;65.00000216
58.87026;114.4346307
46.3;90
46.3;90
18.00556;35.00000864
51.44444;99.99999136
38.58333;74.99999352
33.43889;65.00000216
43.72778;85.00000432
53.02025;103.063121
25.72222;49.99999568
18.00556;35.00000864
42.36677;82.35441253
51.44444;99.99999136
46.3;90
51.44444;99.99999136
46.3;90
28.29445;55.0000108
64.30556;125.0000086
38.58333;74.99999352
48.87222;94.99999568
48.87222;94.99999568
46.3;90
56.58889;110.0000022
48.87222;94.99999568
23.15;45
60.74938;118.0873477
53.02025;103.063121
64.30556;125.0000086
46.3;90
20.88138;40.59015551
51.44444;99.99999136
46.3;90
48.87222;94.99999568
48.87222;94.99999568
46.3;90
43.72778;85.00000432
43.72778;85.00000432
43.72778;85.00000432
29.94165;58.20191145
48.87222;94.99999568
54.01667;105.0000065
48.87222;94.99999568
46.3;90
54.01667;105.0000065
28.29445;55.0000108
38.58333;74.99999352
56.58889;110.0000022
46.3;90
58.87026;114.4346307
51.44444;99.99999136
51.44444;99.99999136
51.44444;99.99999136
30.86667;60.00000648
36.01111;69.99999784
27.11203;52.70157019
46.3;90
46.3;90
43.72778;85.00000432
46.7885;90.94956803
56.58889;110.0000022
54.01667;105.0000065
46.3;90
54.01667;105.0000065
20.57778;40.00000432
56.58889;110.0000022
54.01667;105.0000065
60.74938;118.0873477
51.44444;99.99999136
28.29445;55.0000108
64.30556;125.0000086
12.86111;24.99999784
38.58333;74.99999352
33.43889;65.00000216
46.3;90
43.72778;85.00000432
46.3;90
51.44444;99.99999136
58.87026;114.4346307
38.58333;74.99999352
54.01667;105.0000065
48.87222;94.99999568
35.2018;68.42682505
54.01667;105.0000065
54.01667;105.0000065
30.86667;60.00000648
51.44444;99.99999136
48.87222;94.99999568
11.57407;22.49819222
46.3;90
36.01111;69.99999784
54.01667;105.0000065
48.87222;94.99999568
54.01667;105.0000065
46.7885;90.94956803
54.01667;105.0000065
48.87222;94.99999568
54.01667;105.0000065
35.2018;68.42682505
54.01667;105.0000065
60.74938;118.0873477
43.72778;85.00000432
36.01111;69.99999784
33.43889;65.00000216
54.01667;105.0000065
48.87222;94.99999568
51.44444;99.99999136
48.87222;94.99999568
18.00556;35.00000864
64.30556;125.0000086
54.01667;105.0000065
50.9901;99.11682505
35.2018;68.42682505
48.87222;94.99999568
46.3;90
43.72778;85.00000432
25.72222;49.99999568
58.87026;114.4346307
25.72222;49.99999568
46.7885;90.94956803
43.72778;85.00000432
37.67321;73.23086177
38.58333;74.99999352
